screen time
10
9
10
10
10
9
7
7
8
15
14
17
5
7
7
7
7
10
8
10
10
10
16
11
5
7
7
7
9
8
10
12
11
11
9
9
9
10
10
10
13
11
11
15
15
14
11
4
13
12
10
10
10
5
11
10
5
9
8
5
5
6
5
17
11
12
17
18
12
11
8
8
9
8
9
8
18
16
17
16
17
14
7
7
5
10
10
10
17
7
6
6
6
6
8
8
8
9
9
9
15
16
16
17
17
17
9
10
10
10
10
10
13
14
14
14
15
15
18
7
5
6
7
7
5
18
16
10
10
11
15
5
6
6
6
6
16
16
17
15
16
16
15
14
16
18
6
6
10
