studying
2.5
2
4
45
0.5
0
30
30
1
1
1
1
3
0
2
1
2
3
3
2
4
4
2
3
3
3



































































































