height
5.6
6.0
5.5
6.0
5.9
6.2
5.8
6.0
6.2
6.1
6.2
6.3
5.8
5.9
5.8
5.5
5.9
5.9
5.6
6.1
5.7
5.8
5.7
5.8
5.6
6.0
5.6
5.6
5.4
5.8
6.1
5.9
5.9
5.9
6.1
5.4
5.8
5.7
6.0
5.6
5.7
2.5
5.8
6.0
5.7
6.1
5.6
5.9
5.7
5.6
6.0
5.8
5.6
6.1
5.6
6.0
5.7
5.8
5.9
5.5
6.1
5.7
5.9
5.6
5.8
5.6
5.9
6.0
5.8
6.0
6.0
5.7
6.1
5.3
5.5
5.6
5.8
5.7
5.9
5.8
5.6
5.6
6.1
5.8
5.8
5.6
5.6
5.5
6.0
6.1
5.8
5.8
5.9
6.0
6.2
6.5
6.1
5.5
5.7
6.0
6.1
6.0
5.9
6.1
5.8
5.7
6.1
6.2
6.3
5.8
5.7
5.8
5.8
5.9
6.0
5.8
6.1
6.0
6.2
6.0
6.2
6.0
5.7
5.6
5.5
5.6
5.7
5.6
6.1
5.8
6.0
5.9
6.1
5.6
5.8
5.8
5.9
6.2
5.9
6.3
5.9
5.8
5.6
6.0
6.5
5.9
6.1
5.8
6.0
5.9
5.8
6.2
6.0
5.6
6.1
6.3
5.8
6.0
5.7
6.0
6.0
6.1
5.7
5.9
6.0
6.1
5.7
6.0
5.8
5.8
5.6
5.5
5.9
6.0
6.0
5.8
5.6
6.0
5.8
6.2
6.2
5.7
5.6
5.8
6.2
6.0
6.2
6.0
6.0
5.7
5.8
6.3
5.9
6.2
6.1
5.7
5.8
6.0
6.1
5.6
5.9
5.8
6.0
6.2
5.8
6.1
5.5
6.0
5.9
5.9
5.7
6.2
6.0
5.9
6.1
5.3
5.8
5.8
6.0
5.8
5.9
6.0
5.6
5.6
5.7
5.6
5.7
6.2
5.8
5.7
5.5
6.0
6.0
5.6
5.6
5.6
6.0
5.8
5.8
5.5
5.5
5.7
6.0
6.1
5.7
5.8
5.9
5.6
5.8
5.5
5.9
5.8
