Exercise
0.00
0.00
1.00
1.00
2.00
1.00
2.00
0.50
0.50
1.50
0.50
1.00
0.00
0.00
1.50
0.50
0.50
0.00
0.50
0.75
0.75
0.50
0.00
0.50
1.50
2.50
1.50
1.00
1.50
1.00
3.00
1.50
1.00
1.00
1.50
1.50
2.00
1.50
3.00
3.00
3.00
3.00
1.00
0.50
0.75
0.75
1.00
1.00
1.50
2.00
3.00
3.00
3.00
2.00
2.00
2.00
1.50
2.50
0.50
0.50
0.50
0.50
1.00
0.00
0.00
0.00
0.00
3.00
3.00
3.00
1.50
0.75
0.00
0.00
1.00
2.00
1.50
2.50
3.00
2.00
3.00
1.00
0.00
0.00
0.00
1.50
1.75
1.75
3.00
3.00
2.00
2.00
1.00
0.00
