sleep
10
4
5.5
5.5
5
6
5.5
5.5
7.5
4
7
5
8
7
7.5
9
7
5
7
7
6.5
7
6.5
6
6
6.5
8
5
8.5
6.5
6
7
8
7.5
4
7
5
8
7
7.5
10
4
6.5
6.5
8
8
9
8
5
6
7
8
9
7
5
7
7
6.5
7
6.5
6
6
6.5
